amfi_code,scheme_name,fund_house,category,sub_category,risk_grade,launch_date,benchmark,exit_load_pct,min_sip_amount,min_lumpsum
118865,Franklin Templeton Retirement Fund - Direct Plan,Franklin Templeton,Solution Oriented,Retirement,Moderate,2022-06-27,Nifty 430,0.81,500,5000
118866,Aditya Birla Sun Life ETF Fund - Direct Plan,Aditya Birla Sun Life,Other,ETF,Moderately High,2022-10-25,Nifty 440,0.27,500,5000
118867,HDFC Mid Cap Fund - Direct Plan,HDFC,Equity,Mid Cap,High,2023-02-22,Nifty 450,0.91,500,5000
118868,SBI Credit Risk Fund - Direct Plan,SBI,Debt,Credit Risk,Very High,2023-06-22,Nifty 460,0.88,500,5000
118869,ICICI Prudential Conservative Hybrid Fund - Direct Plan,ICICI Prudential,Hybrid,Conservative Hybrid,Low,2023-10-20,Nifty 470,0.21,500,5000
118870,Nippon India Children Fund - Direct Plan,Nippon India,Solution Oriented,Children,Moderately Low,2024-02-17,Nifty 480,0.4,500,5000
118871,Axis FoF Fund - Direct Plan,Axis,Other,FoF,Moderate,2024-06-16,Nifty 490,0.46,500,5000
118872,Kotak Small Cap Fund - Direct Plan,Kotak,Equity,Small Cap,Moderately High,2024-10-14,Nifty 500,0.14,500,5000
118873,Mirae Asset Credit Risk Fund - Direct Plan,Mirae Asset,Debt,Credit Risk,High,2025-02-11,Nifty 510,0.54,500,5000
118874,DSP Balanced Advantage Fund - Direct Plan,DSP,Hybrid,Balanced Advantage,Very High,2025-06-11,Nifty 520,0.58,500,5000
118875,Franklin Templeton Children Fund - Direct Plan,Franklin Templeton,Solution Oriented,Children,Low,2025-10-09,Nifty 530,0.36,500,5000
118876,Aditya Birla Sun Life Index Fund Fund - Direct Plan,Aditya Birla Sun Life,Other,Index Fund,Moderately Low,2026-02-06,Nifty 540,0.51,500,5000
